[xmit_dataH[0], null, null, inputPin, null]
[xmit_dataH[1], null, null, inputPin, null]
[xmit_dataH[2], null, null, inputPin, null]
[xmit_dataH[3], null, null, inputPin, null]
[xmit_dataH[4], null, null, inputPin, null]
[xmit_dataH[5], null, null, inputPin, null]
[xmit_dataH[6], null, null, inputPin, null]
[xmit_dataH[7], null, null, inputPin, null]
[sys_clk, null, null, inputPin, null]
[sys_rst_l, null, null, inputPin, null]
[xmitH, null, null, inputPin, null]
[uart_REC_dataH, null, null, inputPin, null]
[test_mode, null, null, inputPin, null]
[test_se, null, null, inputPin, null]
[test_si, null, null, inputPin, null]
[test_point_TM, assign, Q, noTrojan, assign]
[test_so, assign, Q, outputPin, assign]
[iXMIT_state_1_, AND2X4, Q, TjPayload, U305]
[xmit_doneH, AND2X4, Q, TjPayload, U303]
[iCTRL, ISOLORX8, Q, TjTrigger, U302]
[iRECEIVER_CTRL, OR4X4, Q, TjTrigger, U301]
[iRECEIVER_bitCell_CTRL, NAND4X1, QN, TjTrigger, U300]
[iRECEIVER_N_CTRL_2_, NAND4X1, QN, TjTrigger, U299]
[iRECEIVER_N_CTRL_1_, NAND4X1, QN, TjTrigger, U298]
[iRECEIVER_state_CTRL, NAND4X1, QN, TjTrigger, U297]
[state_at_0, null, null, constant, null]
[iXMIT_CRTL, OR4X4, Q, TjTrigger, U296]
[iXMIT_xmit_CTRL, NAND4X1, QN, TjTrigger, U295]
[iXMIT_N_CTRL_2_, NAND4X1, QN, TjTrigger, U294]
[iXMIT_N_CTRL_1_, NAND4X1, QN, TjTrigger, U293]
[iRECEIVER_N28, XOR2X2, Q, noTrojan, U230]
[n275, NOR2X4, QN, noTrojan, U229]
[iRECEIVER_N27, XOR2X2, Q, noTrojan, U228]
[iRECEIVER_N26, XOR2X2, Q, noTrojan, U227]
[iRECEIVER_N19, XOR2X2, Q, noTrojan, U226]
[n273, NOR2X4, QN, noTrojan, U225]
[iRECEIVER_N18, XOR2X2, Q, noTrojan, U224]
[iRECEIVER_N17, XOR2X2, Q, noTrojan, U223]
[iXMIT_N46, XOR2X2, Q, noTrojan, U222]
[n271, NOR2X4, QN, noTrojan, U221]
[iXMIT_N45, XOR2X2, Q, noTrojan, U220]
[iXMIT_N44, XOR2X2, Q, noTrojan, U219]
[iXMIT_N25, XOR2X2, Q, noTrojan, U218]
[n269, NOR2X4, QN, noTrojan, U217]
[iXMIT_N24, XOR2X2, Q, noTrojan, U216]
[iXMIT_N23, XOR2X2, Q, noTrojan, U215]
[n28, INVX32, QN, noTrojan, U214]
[iXMIT_xmit_doneInH, NAND2X4, QN, noTrojan, U213]
[n272, NAND2X4, QN, noTrojan, U212]
[n268, NAND2X4, QN, noTrojan, U211]
[n274, NAND2X4, QN, noTrojan, U210]
[n53, NAND2X4, QN, noTrojan, U209]
[n270, NAND2X4, QN, noTrojan, U208]
[iXMIT_next_state_1_, NAND2X4, QN, noTrojan, U207]
[n43, NAND2X4, QN, noTrojan, U206]
[n211, NAND2X4, QN, noTrojan, U205]
[iXMIT_next_state_0_, NAND2X4, QN, noTrojan, U204]
[n18, INVX32, QN, noTrojan, U202]
[n83, NAND2X4, QN, noTrojan, U201]
[n91, NAND4X1, QN, noTrojan, U138]
[n79, INVX32, QN, noTrojan, U137]
[n93, AOI21X2, QN, noTrojan, U135]
[n85, NAND4X1, QN, noTrojan, U132]
[n88, INVX32, QN, noTrojan, U131]
[n94, AOI21X2, QN, noTrojan, U129]
[n92, AND2X4, Q, noTrojan, U128]
[iRECEIVER_N20, AND2X4, Q, noTrojan, U127]
[iRECEIVER_N21, AND2X4, Q, noTrojan, U126]
[iRECEIVER_N22, AND2X4, Q, noTrojan, U125]
[iRECEIVER_N23, AND2X4, Q, noTrojan, U124]
[n80, NOR2X4, QN, noTrojan, U123]
[n89, NOR2X4, QN, noTrojan, U120]
[n86, NAND4X1, QN, noTrojan, U118]
[n87, AOI22X2, QN, noTrojan, U117]
[iRECEIVER_next_state_0_, NAND4X1, QN, noTrojan, U116]
[n84, AOI21X2, QN, noTrojan, U114]
[n81, ISOLORX8, Q, noTrojan, U113]
[n82, NAND3X4, QN, noTrojan, U112]
[n8, NOR2X4, QN, noTrojan, U111]
[iRECEIVER_next_state_1_, NAND4X1, QN, noTrojan, U109]
[iRECEIVER_next_state_2_, AND2X4, Q, noTrojan, U108]
[n77, NAND3X4, QN, noTrojan, U107]
[iRECEIVER_rec_readyInH, OAI21X2, QN, noTrojan, U106]
[n75, NAND3X4, QN, noTrojan, U102]
[n57, NOR2X4, QN, noTrojan, U101]
[n62, NOR2X4, QN, noTrojan, U100]
[n72, INVX32, QN, noTrojan, U99]
[n66, NOR2X4, QN, noTrojan, U97]
[n74, INVX32, QN, noTrojan, U96]
[n54, NOR2X4, QN, noTrojan, U95]
[n61, NOR2X4, QN, noTrojan, U94]
[n65, INVX32, QN, noTrojan, U93]
[n73, AOI22X2, QN, noTrojan, U92]
[n71, OAI21X2, QN, noTrojan, U91]
[iXMIT_N26, AND2X4, Q, noTrojan, U90]
[iXMIT_N27, AND2X4, Q, noTrojan, U89]
[iXMIT_N28, AND2X4, Q, noTrojan, U88]
[iXMIT_N29, AND2X4, Q, noTrojan, U87]
[n69, OR4X4, Q, noTrojan, U85]
[n67, AOI22X2, QN, noTrojan, U83]
[n68, AOI21X2, QN, noTrojan, U82]
[n63, AOI21X2, QN, noTrojan, U80]
[n64, NAND3X4, QN, noTrojan, U79]
[n44, AOI21X2, QN, noTrojan, U77]
[n60, AOI22X2, QN, noTrojan, U75]
